# no_observation;attribut_1;attribut_2;attribut_3;attribut_4no_classe
1;5.1;3.5;1.4;0.22
2;4.9;3.0;1.4;0.22
3;4.7;3.2;1.3;0.22
4;4.6;3.1;1.5;0.22
5;5.0;3.6;1.4;0.22
6;5.4;3.9;1.7;0.42
7;4.6;3.4;1.4;0.32
8;5.0;3.4;1.5;0.22
9;4.4;2.9;1.4;0.22
10;4.9;3.1;1.5;0.12
11;5.4;3.7;1.5;0.22
12;4.8;3.4;1.6;0.22
13;4.8;3.0;1.4;0.12
14;4.3;3.0;1.1;0.12
15;5.8;4.0;1.2;0.22
16;5.7;4.4;1.5;0.42
17;5.4;3.9;1.3;0.42
18;5.1;3.5;1.4;0.32
19;5.7;3.8;1.7;0.32
20;5.1;3.8;1.5;0.32
21;5.4;3.4;1.7;0.22
22;5.1;3.7;1.5;0.42
23;4.6;3.6;1.0;0.22
24;5.1;3.3;1.7;0.52
25;4.8;3.4;1.9;0.22
26;5.0;3.0;1.6;0.22
27;5.0;3.4;1.6;0.42
28;5.2;3.5;1.5;0.22
29;5.2;3.4;1.4;0.22
30;4.7;3.2;1.6;0.22
31;4.8;3.1;1.6;0.22
32;5.4;3.4;1.5;0.42
33;5.2;4.1;1.5;0.12
34;5.5;4.2;1.4;0.22
35;4.9;3.1;1.5;0.12
36;5.0;3.2;1.2;0.22
37;5.5;3.5;1.3;0.22
38;4.9;3.1;1.5;0.12
39;4.4;3.0;1.3;0.22
40;5.1;3.4;1.5;0.22
41;5.0;3.5;1.3;0.32
42;4.5;2.3;1.3;0.32
43;4.4;3.2;1.3;0.22
44;5.0;3.5;1.6;0.62
45;5.1;3.8;1.9;0.42
46;4.8;3.0;1.4;0.32
47;5.1;3.8;1.6;0.22
48;4.6;3.2;1.4;0.22
49;5.3;3.7;1.5;0.22
50;5.0;3.3;1.4;0.22
51;7.0;3.2;4.7;1.40
52;6.4;3.2;4.5;1.50
53;6.9;3.1;4.9;1.50
54;5.5;2.3;4.0;1.31
55;6.5;2.8;4.6;1.50
56;5.7;2.8;4.5;1.31
57;6.3;3.3;4.7;1.60
58;4.9;2.4;3.3;1.01
59;6.6;2.9;4.6;1.30
60;5.2;2.7;3.9;1.41
61;5.0;2.0;3.5;1.01
62;5.9;3.0;4.2;1.51
63;6.0;2.2;4.0;1.01
64;6.1;2.9;4.7;1.40
65;5.6;2.9;3.6;1.31
66;6.7;3.1;4.4;1.40
67;5.6;3.0;4.5;1.51
68;5.8;2.7;4.1;1.01
69;6.2;2.2;4.5;1.50
70;5.6;2.5;3.9;1.11
71;5.9;3.2;4.8;1.80
72;6.1;2.8;4.0;1.31
73;6.3;2.5;4.9;1.50
74;6.1;2.8;4.7;1.20
75;6.4;2.9;4.3;1.30
76;6.6;3.0;4.4;1.40
77;6.8;2.8;4.8;1.40
78;6.7;3.0;5.0;1.70
79;6.0;2.9;4.5;1.50
80;5.7;2.6;3.5;1.01
81;5.5;2.4;3.8;1.11
82;5.5;2.4;3.7;1.01
83;5.8;2.7;3.9;1.21
84;6.0;2.7;5.1;1.60
85;5.4;3.0;4.5;1.51
86;6.0;3.4;4.5;1.61
87;6.7;3.1;4.7;1.50
88;6.3;2.3;4.4;1.30
89;5.6;3.0;4.1;1.31
90;5.5;2.5;4.0;1.31
91;5.5;2.6;4.4;1.21
92;6.1;3.0;4.6;1.40
93;5.8;2.6;4.0;1.21
94;5.0;2.3;3.3;1.01
95;5.6;2.7;4.2;1.31
96;5.7;3.0;4.2;1.21
97;5.7;2.9;4.2;1.31
98;6.2;2.9;4.3;1.30
99;5.1;2.5;3.0;1.11
100;5.7;2.8;4.1;1.31
101;6.3;3.3;6.0;2.50
102;5.8;2.7;5.1;1.90
103;7.1;3.0;5.9;2.10
104;6.3;2.9;5.6;1.80
105;6.5;3.0;5.8;2.20
106;7.6;3.0;6.6;2.10
107;4.9;2.5;4.5;1.71
108;7.3;2.9;6.3;1.80
109;6.7;2.5;5.8;1.80
110;7.2;3.6;6.1;2.50
111;6.5;3.2;5.1;2.00
112;6.4;2.7;5.3;1.90
113;6.8;3.0;5.5;2.10
114;5.7;2.5;5.0;2.00
115;5.8;2.8;5.1;2.40
116;6.4;3.2;5.3;2.30
117;6.5;3.0;5.5;1.80
118;7.7;3.8;6.7;2.20
119;7.7;2.6;6.9;2.30
120;6.0;2.2;5.0;1.50
121;6.9;3.2;5.7;2.30
122;5.6;2.8;4.9;2.00
123;7.7;2.8;6.7;2.00
124;6.3;2.7;4.9;1.80
125;6.7;3.3;5.7;2.10
126;7.2;3.2;6.0;1.80
127;6.2;2.8;4.8;1.80
128;6.1;3.0;4.9;1.80
129;6.4;2.8;5.6;2.10
130;7.2;3.0;5.8;1.60
131;7.4;2.8;6.1;1.90
132;7.9;3.8;6.4;2.00
133;6.4;2.8;5.6;2.20
134;6.3;2.8;5.1;1.50
135;6.1;2.6;5.6;1.40
136;7.7;3.0;6.1;2.30
137;6.3;3.4;5.6;2.40
138;6.4;3.1;5.5;1.80
139;6.0;3.0;4.8;1.80
140;6.9;3.1;5.4;2.10
141;6.7;3.1;5.6;2.40
142;6.9;3.1;5.1;2.30
143;5.8;2.7;5.1;1.90
144;6.8;3.2;5.9;2.30
145;6.7;3.3;5.7;2.50
146;6.7;3.0;5.2;2.30
147;6.3;2.5;5.0;1.90
148;6.5;3.0;5.2;2.00
149;6.2;3.4;5.4;2.30
150;5.9;3.0;5.1;1.80
